metric	value
decision	PHASE2_P2D_ONE_GOAL_RUNTIME_RETEST_PASS
runner_exit_code	0
goal_send_count	1
goal_response_received	True
goal_response_latency_sec	0.004880931999650784
goal_id	7feffb85898042008b77bd8c3d4ba529
goal_accepted	True
result_response_received	True
result_latency_from_request_sec	41.34933330198692
action_result	SUCCEEDED
final_x	8.185453032013545
final_y	-53.78843856683632
final_yaw	0.003909699763943841
final_xy_error_m	0.24780476515545505
final_yaw_error_rad	0.003909699763943841
total_translation_m	2.761417241533026
odom_sample_count	2327
path_received	True
path_pose_count	10
path_length_m	0.30606518986571024
path_max_gap_m	0.07071067917232597
path_endpoint_error_m	0.0
path_occupied_hits	0
path_unknown_hits	0
path_oob_hits	0
command_count	827
nonzero_command_count	826
invalid_command_count	0
unsupported_command_count	0
command_limit_violation_count	0
max_abs_linear_x	0.08317729830741882
max_abs_angular_z	0.04828613996505737
active_command_stream_frequency_hz	20.02407033422651
controller_action_window_frequency_hz	19.999560965866362
post_result_stop_latency_sec	0.0
fake_base_clean_exit	True
shutdown_traceback	False
failed_goal_response_warning	False
bt_goal_succeeded_log	True
