timestamp	loadavg	memory	temperature	processes
2026-08-02T00:47:23+08:00	5.12 3.52 2.16 7/1737 342888	MemTotal:=16018340 MemAvailable:=4605924 	thermal_zone0=55531 thermal_zone1=54062 thermal_zone2=54500 thermal_zone3=54406 thermal_zone4=54000 thermal_zone5=55000 thermal_zone6=55343 thermal_zone7=54437 thermal_zone8=55687 	 342002 map_server       4.5 44548; 342006 phase2_fake_bas 15.9 60244; 342008 planner_server   5.1 74736; 342010 controller_serv  6.6 46960; 342025 bt_navigator     7.3 36140;
2026-08-02T00:47:24+08:00	5.12 3.52 2.16 3/1737 342937	MemTotal:=16018340 MemAvailable:=4578144 	thermal_zone0=55812 thermal_zone1=54125 thermal_zone2=54562 thermal_zone3=54531 thermal_zone4=54156 thermal_zone5=55125 thermal_zone6=55437 thermal_zone7=54468 thermal_zone8=55875 	 342002 map_server       4.5 44548; 342006 phase2_fake_bas 15.9 60244; 342008 planner_server   5.1 74736; 342010 controller_serv  6.6 46960; 342025 bt_navigator     7.3 36140;
2026-08-02T00:47:25+08:00	5.12 3.52 2.16 7/1755 343008	MemTotal:=16018340 MemAvailable:=4535772 	thermal_zone0=55968 thermal_zone1=54062 thermal_zone2=54562 thermal_zone3=54562 thermal_zone4=54156 thermal_zone5=55062 thermal_zone6=55343 thermal_zone7=54500 thermal_zone8=56250 	 342002 map_server       4.5 44548; 342006 phase2_fake_bas 15.9 60244; 342008 planner_server   5.1 74736; 342010 controller_serv  6.6 46960; 342025 bt_navigator     7.3 36140;
2026-08-02T00:47:27+08:00	5.12 3.52 2.16 5/1752 343061	MemTotal:=16018340 MemAvailable:=4532672 	thermal_zone0=55968 thermal_zone1=54062 thermal_zone2=54375 thermal_zone3=54531 thermal_zone4=54062 thermal_zone5=55125 thermal_zone6=55406 thermal_zone7=54375 thermal_zone8=55562 	 342002 map_server       4.5 44548; 342006 phase2_fake_bas 15.9 60244; 342008 planner_server   5.2 74736; 342010 controller_serv  6.7 46960; 342025 bt_navigator     7.3 36140;
2026-08-02T00:47:28+08:00	5.19 3.56 2.18 4/1752 343097	MemTotal:=16018340 MemAvailable:=4525708 	thermal_zone0=55937 thermal_zone1=54281 thermal_zone2=54437 thermal_zone3=54562 thermal_zone4=54218 thermal_zone5=55218 thermal_zone6=55343 thermal_zone7=54375 thermal_zone8=55718 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 15.8 60244; 342008 planner_server   5.2 74788; 342010 controller_serv  6.7 47012; 342025 bt_navigator     7.3 36192;
2026-08-02T00:47:29+08:00	5.19 3.56 2.18 3/1745 343135	MemTotal:=16018340 MemAvailable:=4445920 	thermal_zone0=55781 thermal_zone1=54125 thermal_zone2=54531 thermal_zone3=54500 thermal_zone4=54093 thermal_zone5=55000 thermal_zone6=55375 thermal_zone7=54437 thermal_zone8=56031 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 15.8 60296; 342008 planner_server   5.2 139144; 342010 controller_serv  6.8 48064; 342025 bt_navigator     7.4 38240;
2026-08-02T00:47:30+08:00	5.19 3.56 2.18 12/1745 343171	MemTotal:=16018340 MemAvailable:=4441172 	thermal_zone0=55718 thermal_zone1=54250 thermal_zone2=54468 thermal_zone3=54656 thermal_zone4=54125 thermal_zone5=55125 thermal_zone6=55562 thermal_zone7=54406 thermal_zone8=55593 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 15.8 60296; 342008 planner_server   5.3 139200; 342010 controller_serv  7.0 48064; 342025 bt_navigator     7.5 38240;
2026-08-02T00:47:31+08:00	5.19 3.56 2.18 7/1748 343225	MemTotal:=16018340 MemAvailable:=4433420 	thermal_zone0=55687 thermal_zone1=54062 thermal_zone2=54562 thermal_zone3=54562 thermal_zone4=54187 thermal_zone5=55093 thermal_zone6=55562 thermal_zone7=54375 thermal_zone8=55875 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 15.9 60296; 342008 planner_server   5.3 139228; 342010 controller_serv  7.2 48064; 342025 bt_navigator     7.6 38240;
2026-08-02T00:47:32+08:00	5.19 3.56 2.18 20/1745 343281	MemTotal:=16018340 MemAvailable:=4426868 	thermal_zone0=56062 thermal_zone1=54031 thermal_zone2=55031 thermal_zone3=54906 thermal_zone4=54375 thermal_zone5=55125 thermal_zone6=55468 thermal_zone7=54687 thermal_zone8=55937 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 15.9 60296; 342008 planner_server   5.3 139228; 342010 controller_serv  7.4 48064; 342025 bt_navigator     7.8 38240;
2026-08-02T00:47:33+08:00	5.34 3.62 2.21 3/1744 343317	MemTotal:=16018340 MemAvailable:=4661332 	thermal_zone0=55875 thermal_zone1=54312 thermal_zone2=54593 thermal_zone3=54718 thermal_zone4=54406 thermal_zone5=55062 thermal_zone6=55500 thermal_zone7=54625 thermal_zone8=56187 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 15.9 60296; 342008 planner_server   5.4 139240; 342010 controller_serv  7.5 48064; 342025 bt_navigator     7.9 38240;
2026-08-02T00:47:35+08:00	5.34 3.62 2.21 4/1744 343353	MemTotal:=16018340 MemAvailable:=4654908 	thermal_zone0=55718 thermal_zone1=54062 thermal_zone2=54343 thermal_zone3=54531 thermal_zone4=54156 thermal_zone5=55125 thermal_zone6=55468 thermal_zone7=54531 thermal_zone8=55625 	 342002 map_server       4.5 44600; 342006 phase2_fake_bas 16.0 60296; 342008 planner_server   5.4 139256; 342010 controller_serv  7.7 48064; 342025 bt_navigator     8.0 38240;
2026-08-02T00:47:36+08:00	5.34 3.62 2.21 5/1754 343414	MemTotal:=16018340 MemAvailable:=4652940 	thermal_zone0=55906 thermal_zone1=54156 thermal_zone2=54406 thermal_zone3=54687 thermal_zone4=54281 thermal_zone5=55031 thermal_zone6=55406 thermal_zone7=54468 thermal_zone8=55656 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 15.8 60296; 342008 planner_server   5.4 139264; 342010 controller_serv  7.8 48064; 342025 bt_navigator     8.0 38240;
2026-08-02T00:47:37+08:00	5.34 3.62 2.21 3/1751 343470	MemTotal:=16018340 MemAvailable:=4651956 	thermal_zone0=55812 thermal_zone1=54093 thermal_zone2=54312 thermal_zone3=54687 thermal_zone4=54218 thermal_zone5=54968 thermal_zone6=55375 thermal_zone7=54437 thermal_zone8=56093 	 342002 map_server       4.4 44600; 342006 phase2_fake_bas 15.9 60296; 342008 planner_server   5.4 139284; 342010 controller_serv  8.0 48064; 342025 bt_navigator     8.1 38240;
