metric	value	status
initialpose_verified	True	PASS
goal_send_count	1	PASS
action_goal_accepted	True	PASS
action_result	None	FAIL
elapsed_sec	181.08709147000627	INFO
global_path_received	True	PASS
global_path_pose_count	201	PASS
global_path_length_m	5.031111085448034	PASS
global_path_max_gap_m	0.04575428989299877	PASS
global_path_occupied_hits	0	PASS
global_path_unknown_hits	0	PASS
command_message_count	3405	PASS
nonzero_command_count	3395	PASS
max_abs_linear_x	0.05000000074505806	PASS
max_abs_angular_z	0.8	PASS
invalid_command_count	0	PASS
unsupported_command_count	0	PASS
command_limit_violation_count	0	PASS
odom_total_translation_m	0.39563587622402063	PARTIAL_MOVEMENT
odom_nonfinite_count	0	PASS
post_result_stop_latency_sec	None	NOT_AVAILABLE_TIMEOUT
