# x, y, z, yaw_rad, timestamp_unix
4.1310, -0.7819, -1.3365, -0.0657, 1789127714.110
4.0129, -0.7996, -1.3453, -0.0711, 1789127715.111
4.2228, -0.8288, -1.3462, -0.0262, 1789127716.211
4.6169, -0.8377, -1.3324, 0.1514, 1789127717.311
5.0739, -0.7642, -1.3228, 0.2906, 1789127718.311
5.7128, -0.5836, -1.3100, 0.6371, 1789127719.312
6.7713, -0.5327, -1.3113, 0.8026, 1789127720.411
7.0483, -0.5688, -1.3203, 0.7923, 1789127721.511
6.9479, -0.6400, -1.3232, 0.8583, 1789127735.311
6.8418, -0.8798, -1.3185, 1.0720, 1789127738.611
6.7672, -1.0221, -1.3223, 1.1321, 1789127741.811
6.9738, -0.4760, -1.3158, 1.5416, 1789127747.211
6.9889, -0.1279, -1.3086, 1.7176, 1789127748.211
