# x, y, z, yaw_rad, timestamp_unix
4.2337, -0.3006, -1.4495, -0.1403, 1784709843.832
4.6997, -0.4051, -1.4478, -0.2400, 1784709845.032
5.1419, -0.4511, -1.4484, -0.2340, 1784709846.132
5.7499, -0.5350, -1.4463, -0.0972, 1784709847.731
6.2277, -0.5029, -1.4455, -0.0275, 1784709849.032
6.6678, -0.4844, -1.4449, -0.0177, 1784709850.134
7.1413, -0.4660, -1.4461, -0.0124, 1784709851.332
7.5928, -0.4575, -1.4461, -0.0072, 1784709852.532
8.3063, -0.4019, -1.4531, 0.0128, 1784709854.332
8.7696, -0.3577, -1.4534, 0.0296, 1784709855.532
9.1447, -0.3157, -1.4515, 0.0541, 1784709856.932
9.4395, -0.2791, -1.4546, 0.0276, 1784709865.832
9.9471, -0.3265, -1.4529, -0.1666, 1784709866.940
10.4074, -0.4385, -1.4536, -0.2516, 1784709868.132
10.8506, -0.5109, -1.4483, -0.2552, 1784709869.331
11.4046, -0.5380, -1.4515, -0.0480, 1784709870.829
11.7723, -0.5158, -1.4495, -0.0071, 1784709871.832
12.3079, -0.4533, -1.4571, 0.1095, 1784709873.232
12.7899, -0.2817, -1.4578, 0.2053, 1784709874.632
13.3803, -0.1898, -1.4604, 0.0813, 1784709876.033
13.9014, -0.1782, -1.4594, -0.0216, 1784709877.332
15.0090, -0.0998, -1.4561, 0.0424, 1784709880.232
15.5578, -0.0243, -1.4519, 0.0738, 1784709881.733
16.1174, 0.0412, -1.4598, 0.0739, 1784709883.133
16.5707, 0.1169, -1.4637, 0.0589, 1784709884.233
17.2533, 0.0818, -1.4485, -0.1087, 1784709885.833
17.8964, 0.0613, -1.4529, -0.0932, 1784709887.532
18.5220, 0.0885, -1.4594, 0.0219, 1784709889.132
18.9854, 0.1838, -1.4631, 0.1220, 1784709890.432
19.4453, 0.2671, -1.4680, 0.1338, 1784709891.632
20.0152, 0.3818, -1.4727, 0.1253, 1784709893.032
20.5633, 0.4060, -1.4679, -0.0291, 1784709894.332
21.3310, 0.3524, -1.4705, -0.1108, 1784709896.232
21.9120, 0.3542, -1.4571, -0.0628, 1784709897.832
22.6562, 0.4938, -1.4669, 0.1292, 1784709899.749
23.1910, 0.6165, -1.4766, 0.1522, 1784709901.132
