seq,x,y,yaw,timestamp
0,4.1620,-46.5541,-1.5167,1778851741.092
1,4.1833,-46.9472,-1.5167,1778851742.205
2,4.2046,-47.3404,-1.5167,1778851743.318
3,4.2258,-47.7335,-1.5167,1778851744.432
4,4.2471,-48.1267,-1.5167,1778851745.545
5,4.2684,-48.5198,-1.5167,1778851746.658
6,4.2897,-48.9129,-1.5167,1778851747.771
7,4.3110,-49.3061,-1.5167,1778851748.885
8,4.3323,-49.6992,-1.5167,1778851749.998
9,4.3536,-50.0923,-1.5167,1778851751.111
10,4.3748,-50.4855,-1.5167,1778851752.224
11,4.3961,-50.8786,-1.5167,1778851753.337
12,4.4174,-51.2718,-1.5167,1778851754.451
13,4.4387,-51.6649,-1.5167,1778851755.564
14,4.4600,-52.0580,-1.5167,1778851756.677
15,4.4812,-52.4512,-1.5167,1778851757.790
16,4.5025,-52.8443,-1.5167,1778851758.904
17,4.5238,-53.2375,-1.5167,1778851760.017
18,4.5451,-53.6306,-1.5722,1778851761.130
19,4.5446,-54.0211,-1.5722,1778851762.243
20,4.5440,-54.4116,-1.5722,1778851763.356
21,4.5435,-54.8021,-1.5722,1778851764.470
22,4.5429,-55.1926,-1.5722,1778851765.583
23,4.5424,-55.5831,-1.4282,1778851766.696
24,4.5990,-55.9776,-1.4282,1778851767.809
25,4.6557,-56.3721,-1.4282,1778851768.922
26,4.7123,-56.7666,-1.4282,1778851770.036
27,4.7690,-57.1611,-1.4282,1778851771.149
28,4.8256,-57.5556,-1.4282,1778851772.262
29,4.8823,-57.9501,-1.4282,1778851773.375
30,4.9389,-58.3446,-1.6317,1778851774.489
31,4.9144,-58.7466,-1.6317,1778851775.602
32,4.8899,-59.1486,-1.6317,1778851776.715
33,4.8654,-59.5507,-1.6317,1778851777.828
34,4.8409,-59.9527,-1.6317,1778851778.941
35,4.8164,-60.3547,-1.6317,1778851780.055
36,4.7919,-60.7567,-1.6317,1778851781.168
37,4.7674,-61.1587,-1.6317,1778851782.281
38,4.7429,-61.5608,-1.6317,1778851783.394
39,4.7184,-61.9628,-1.6317,1778851784.508
40,4.6939,-62.3648,-1.6317,1778851785.621
41,4.6693,-62.7668,-1.6317,1778851786.734
42,4.6448,-63.1688,-1.6317,1778851787.847
43,4.6203,-63.5709,-1.6317,1778851788.960
44,4.5958,-63.9729,-1.6317,1778851790.074
45,4.5713,-64.3749,-1.6317,1778851791.187
46,4.5468,-64.7769,-1.6317,1778851792.300
47,4.5223,-65.1789,-1.6317,1778851793.413
48,4.4978,-65.5810,-1.6317,1778851794.527
49,4.4733,-65.9830,-1.6317,1778851795.640
