# x, y, z, yaw_rad, timestamp_unix
2.7040, -27.6628, 1.6809, -1.4962, 1778851690.992
2.7575, -28.0840, 1.6943, -1.4927, 1778851692.092
2.7997, -28.5310, 1.7145, -1.5362, 1778851693.192
2.8087, -28.9509, 1.7352, -1.5962, 1778851694.292
2.8019, -29.3810, 1.7527, -1.6365, 1778851695.392
2.7780, -29.7698, 1.7736, -1.6833, 1778851696.392
2.7429, -30.1545, 1.7907, -1.7125, 1778851697.392
2.7010, -30.5387, 1.8105, -1.7356, 1778851698.392
2.6486, -30.9322, 1.8281, -1.7443, 1778851699.392
2.6010, -31.2877, 1.8444, -1.7393, 1778851700.392
2.5633, -31.6839, 1.8664, -1.6784, 1778851701.392
2.5799, -32.0777, 1.8827, -1.5579, 1778851702.393
2.6140, -32.4394, 1.8983, -1.5252, 1778851703.393
