# edge_id, from_id, to_id, length_m, direction, traj_file
edge-000001, 1, 2, 1.975, uni, edge_1_traj.txt
edge-000002, 2, 3, 4.616, uni, edge_2_traj.txt
edge-000003, 3, 4, 3.629, uni, edge_3_traj.txt
edge-000004, 5, 6, 3.978, uni, edge_4_traj.txt
edge-000005, 4, 5, 4.761, uni, edge_5_traj.txt
edge-000006, 6, 7, 3.223, uni, edge_6_traj.txt
edge-000007, 7, 8, 3.535, uni, edge_7_traj.txt
edge-000008, 8, 9, 4.777, uni, edge_8_traj.txt
edge-000009, 7, 6, 3.223, uni, edge_9_traj.txt
edge-000010, 5, 4, 4.761, uni, edge_10_traj.txt
edge-000011, 9, 10, 3.639, uni, edge_11_traj.txt
