# node_id, label, annotation, x, y, z, yaw_deg, timestamp_unix, traj_idx
1, WP-01, , 0.8461, -2.0429, 0.0599, -88.93, 1778851623.092, 7
2, WP-02, , 0.9952, -4.0124, 0.2187, -91.34, 1778851628.492, 12
3, WP-03, , 1.0429, -8.6286, 0.5983, -95.67, 1778851640.991, 24
4, WP-04, , 1.3855, -12.2409, 0.8656, -82.57, 1778851650.492, 33
5, WP-05, , 1.7381, -16.9884, 1.1597, -87.78, 1778851662.892, 45
6, WP-06, , 2.3286, -20.9226, 1.3606, -82.08, 1778851673.292, 55
7, WP-07, , 2.3490, -24.1459, 1.5170, -89.72, 1778851681.692, 63
8, WP-08, , 2.7040, -27.6628, 1.6809, -85.73, 1778851690.992, 72
9, WP-09, , 2.6140, -32.4394, 1.8983, -87.39, 1778851703.393, 84
10, WP-10, , 2.8121, -36.0726, 2.0474, -90.71, 1778851712.892, 93
11, WP-11, , 2.9802, -41.6223, 2.2777, -95.13, 1778851727.592, 107
12, WP-12, , 3.0488, -42.8422, 2.3053, -85.22, 1778851730.692, 110
13, WP-13, , 3.2677, -43.5926, 2.3229, -68.57, 1778851732.692, 112
14, WP-14, , 3.9356, -44.5011, 2.3241, -53.38, 1778851735.693, 115
15, WP-15, , 4.1761, -44.8868, 2.3234, -65.86, 1778851736.793, 116
16, WP-16, , 4.1563, -46.1230, 2.3837, -94.07, 1778851739.992, 119
17, WP-17, , 4.2814, -47.8033, 2.4481, -92.02, 1778851744.292, 123
18, WP-18, , 4.2494, -48.9533, 2.4972, -94.35, 1778851747.292, 126
19, WP-19, , 4.2634, -50.0845, 2.5412, -89.23, 1778851750.292, 129
20, WP-20, , 4.1975, -45.3269, 2.3420, -94.90, 1778851737.892, 117
