seq,x,y,yaw,speed,radius,timestamp
0,0.8042,-1.2671,-1.5168,5000.0,10000.0,1778851620.991
1,0.8461,-2.0429,-1.4673,5000.0,10000.0,1778851622.104
2,0.8873,-2.4397,-1.4673,5000.0,10000.0,1778851623.217
3,0.9285,-2.8365,-1.4673,5000.0,10000.0,1778851624.331
4,0.9697,-3.2333,-1.5282,5000.0,10000.0,1778851625.444
5,0.9852,-3.5972,-1.5447,5000.0,10000.0,1778851626.557
6,0.9955,-3.9926,-1.5447,5000.0,10000.0,1778851627.67
7,1.0059,-4.388,-1.5447,5000.0,10000.0,1778851628.784
8,1.0162,-4.7834,-1.5146,5000.0,10000.0,1778851629.897
9,1.0389,-5.1868,-1.511,5000.0,10000.0,1778851631.01
10,1.0718,-5.7373,-1.511,5000.0,10000.0,1778851632.123
11,1.1048,-6.2878,-1.511,5000.0,10000.0,1778851633.236
